43,0,0,0,-10,10,70,-12,-30,-70,-83,-54,70,-94,-12,-70
50,0,0,0,-15,-45,70,0,15,-70,-89,-3,70,-99,-39,-70
57,0,0,0,-9,-48,70,3,17,-70,-86,13,70,-86,-64,-70
64,0,0,0,-8,0,70,-15,-29,-70,-84,-11,70,-78,-48,-70
71,0,0,0,3,33,70,-14,-57,-70,-92,-39,70,-91,1,-70
78,0,0,0,1,25,70,-21,-47,-70,-81,-65,70,-87,11,-70
85,0,0,0,-4,-35,70,-9,8,-70,-68,-33,70,-87,-16,-70
92,0,0,0,-10,-43,70,8,46,-70,-80,16,70,-90,-45,-70
99,0,0,0,-11,-43,70,-5,33,-70,-88,14,70,-79,-62,-70
106,0,0,0,-9,2,70,-13,13,-70,-87,-14,70,-76,-6,-70
113,0,0,0,4,21,70,-21,-3,-70,-92,-51,70,-90,27,-70
120,0,0,0,-10,0,70,-25,-8,-70,-82,-64,70,-97,6,-70
127,0,0,0,-6,-43,70,-9,33,-70,-71,-20,70,-85,-26,-70
