50,0,0,0,7,47,70,-21,-54,-70,-89,-68,70,-96,9,-70
57,0,0,0,-4,10,70,-5,-9,-70,-73,-37,70,-82,-23,-70
64,0,0,0,-8,-44,70,2,27,-70,-86,13,70,-90,-44,-70
71,0,0,0,-3,-40,70,-4,10,-70,-86,12,70,-83,-68,-70
78,0,0,0,-7,4,70,-14,-42,-70,-94,-24,70,-81,-31,-70
85,0,0,0,6,42,70,-18,-42,-70,-94,-54,70,-95,22,-70
92,0,0,0,-5,17,70,-22,-18,-70,-79,-56,70,-94,10,-70
99,0,0,0,-11,-35,70,-12,33,-70,-93,-11,70,-105,-24,-70
106,0,0,0,-3,-56,70,3,42,-70,-80,24,70,-79,-56,-70
113,0,0,0,-13,-39,70,-17,7,-70,-89,6,70,-83,-51,-70
120,0,0,0,-6,16,70,-25,-12,-70,-101,-32,70,-103,12,-70
127,0,0,0,5,15,70,-26,-12,-70,-81,-61,70,-88,28,-70
134,0,0,0,-6,-34,70,-15,18,-70,-74,-55,70,-92,-10,-70
